,ticker,exe_time,send_time,buy_or_sell,cash,qty,exe_price
0,NXTD,09:31:35,09:31:33,BUY,247.91,76.0,3.262
1,NXTD,09:31:49,09:31:47,BUY,246.48,78.0,3.16
2,NXTD,09:31:55,09:31:53,BUY,492.9,159.0,3.1
3,NXTD,09:33:41,09:33:39,SELL,1017.25,313.0,3.25
4,NXTD,09:33:51,09:33:49,BUY,247.05,81.0,3.05
5,NXTD,09:34:36,09:34:34,BUY,245.1,83.0,2.9530000000000003
6,NXTD,09:34:57,09:34:55,SELL,506.92,164.0,3.091
7,NXTD,09:35:00,09:34:58,BUY,248.08,80.0,3.1010000000000004
8,NXTD,09:35:03,09:35:01,BUY,246.79,84.0,2.938
9,NXTD,09:35:09,09:35:07,BUY,494.49,169.0,2.926
10,NXTD,09:35:36,09:35:34,BUY,987.84,343.0,2.88
11,NXTD,09:36:38,09:36:36,SELL,2031.38,676.0,3.005
12,NXTD,09:37:03,09:37:01,BUY,249.73,84.0,2.9730000000000003
13,NXTD,09:37:21,09:37:19,BUY,247.59,86.0,2.879
14,NXTD,09:37:29,09:37:27,BUY,495.25,175.0,2.83
15,NXTD,09:37:39,09:37:37,SELL,1029.48,345.0,2.984
16,NXTD,09:37:45,09:37:43,BUY,249.65,84.0,2.972
17,NXTD,09:37:56,09:37:54,BUY,247.68,86.0,2.88
18,NXTD,09:39:23,09:39:21,SELL,512.72,170.0,3.016
19,NXTD,09:39:54,09:39:52,BUY,247.68,86.0,2.88
20,NXTD,09:40:05,09:40:03,SELL,255.25,86.0,2.968
21,NXTD,09:40:29,09:40:27,BUY,247.97,84.0,2.952
22,NXTD,09:45:43,09:45:41,SELL,256.28,84.0,3.051
23,NXTD,09:46:31,09:46:29,BUY,248.51,81.0,3.068
24,NXTD,09:48:42,09:48:40,BUY,246.12,84.0,2.93
25,NXTD,09:49:38,09:49:36,BUY,494.19,170.0,2.907
26,NXTD,09:53:19,09:53:17,SELL,1019.74,335.0,3.0439999999999996
27,NXTD,09:53:29,09:53:27,BUY,249.5,83.0,3.006
28,NXTD,10:01:03,10:01:01,SELL,259.04,83.0,3.1210000000000004
29,NXTD,10:01:09,10:01:07,BUY,247.64,82.0,3.02
30,NXTD,10:01:12,10:01:10,SELL,255.59,82.0,3.117
31,NXTD,10:01:16,10:01:14,BUY,248.21,82.0,3.027
32,NXTD,10:01:19,10:01:17,SELL,256.66,82.0,3.13
33,NXTD,10:01:24,10:01:22,BUY,248.95,82.0,3.036
34,NXTD,10:01:49,10:01:47,SELL,256.58,82.0,3.1289999999999996
35,NXTD,10:02:43,10:02:41,BUY,249.94,82.0,3.048
36,NXTD,10:02:54,10:02:52,BUY,249.9,85.0,2.94
37,NXTD,10:12:46,10:12:44,SELL,518.7,167.0,3.1060000000000003
38,NXTD,10:13:23,10:13:21,BUY,248.14,79.0,3.141
39,NXTD,10:19:28,10:19:26,SELL,255.64,79.0,3.236
40,NXTD,10:19:44,10:19:42,BUY,247.26,78.0,3.17
41,NXTD,10:27:30,10:27:28,BUY,245.92,80.0,3.074
42,NXTD,10:27:40,10:27:38,BUY,493.07,163.0,3.025
43,NXTD,10:27:50,10:27:48,SELL,1017.57,321.0,3.17
44,NXTD,10:27:53,10:27:51,BUY,247.19,79.0,3.1289999999999996
45,NXTD,10:28:03,10:28:01,BUY,245.67,81.0,3.033
46,NXTD,10:28:23,10:28:21,BUY,492.86,165.0,2.987
47,NXTD,10:34:07,10:34:05,BUY,984.57,335.0,2.939
48,NXTD,10:40:48,10:40:46,BUY,1968.6,680.0,2.895
49,NXTD,10:40:54,10:40:52,BUY,3938.7,1382.0,2.85
50,NXTD,10:44:46,10:44:44,SELL,7926.46,2722.0,2.912
0,NXTD,10:45:07,10:45:05,BUY,249.31,86.0,2.899
