,ticker,exe_time,send_time,buy_or_sell,cash,qty,exe_price
0,NXTD,09:34:08,09:34:05,BUY,249.94,82.0,3.048
1,NXTD,09:37:19,09:37:10,BUY,248.8,86.0,2.893
2,NXTD,10:01:15,10:01:07,SELL,513.74,168.0,3.0580000000000003
3,NXTD,10:02:10,10:02:01,BUY,247.54,81.0,3.056
4,NXTD,10:02:33,10:02:26,BUY,245.76,83.0,2.9610000000000003
5,NXTD,10:12:20,10:12:12,SELL,508.89,164.0,3.103
6,NXTD,10:13:10,10:13:02,BUY,248.22,79.0,3.142
7,NXTD,10:27:14,10:27:08,BUY,245.36,80.0,3.0669999999999997
8,NXTD,10:34:07,10:33:58,BUY,493.35,166.0,2.972
9,NXTD,10:40:07,10:39:59,BUY,986.28,338.0,2.918
0,NXTD,10:40:12,10:40:08,BUY,1972.25,686.0,2.875
